,Chance of Admit 
471,0.64
26,0.76
7,0.68
453,0.73
108,0.93
37,0.58
157,0.65
489,0.65
118,0.47
114,0.59
175,0.85
373,0.79
181,0.71
144,0.8
369,0.67
390,0.64
195,0.78
404,0.62
275,0.78
454,0.71
141,0.9
365,0.86
67,0.57
210,0.79
168,0.64
493,0.62
375,0.38
400,0.63
272,0.49
109,0.68
248,0.8
145,0.81
92,0.34
152,0.86
367,0.57
467,0.78
83,0.92
245,0.81
165,0.78
163,0.68
199,0.72
228,0.71
74,0.74
478,0.71
358,0.7
250,0.74
119,0.71
310,0.76
299,0.71
255,0.79
354,0.59
399,0.95
225,0.61
353,0.63
234,0.91
382,0.82
274,0.58
36,0.64
196,0.73
139,0.78
364,0.77
244,0.63
439,0.66
286,0.92
59,0.42
111,0.69
89,0.74
436,0.58
6,0.75
360,0.85
346,0.47
338,0.81
158,0.61
150,0.93
177,0.82
393,0.77
184,0.72
449,0.79
10,0.52
380,0.78
103,0.57
81,0.96
38,0.52
314,0.66
167,0.64
469,0.86
296,0.76
474,0.67
198,0.7
297,0.86
416,0.65
146,0.75
392,0.84
147,0.83
447,0.84
287,0.89
123,0.61
368,0.51
96,0.48
143,0.97
239,0.59
442,0.92
97,0.86
407,0.58
122,0.57
183,0.75
202,0.97
246,0.72
305,0.74
298,0.9
351,0.73
386,0.46
395,0.82
284,0.94
125,0.64
302,0.65
223,0.71
418,0.6
219,0.74
129,0.92
420,0.42
289,0.79
444,0.92
376,0.34
291,0.56
355,0.73
294,0.61
396,0.84
340,0.75
112,0.62
179,0.73
307,0.8
432,0.86
487,0.79
481,0.78
422,0.73
233,0.64
311,0.84
164,0.81
136,0.76
197,0.73
258,0.77
232,0.69
115,0.66
120,0.94
349,0.62
224,0.67
402,0.78
397,0.91
127,0.78
285,0.93
411,0.56
107,0.91
370,0.72
325,0.81
133,0.79
452,0.93
44,0.91
460,0.77
65,0.55
283,0.8
85,0.76
242,0.7
186,0.84
383,0.62
159,0.52
12,0.78
35,0.88
28,0.46
170,0.68
142,0.92
398,0.67
342,0.58
221,0.75
95,0.42
51,0.56
240,0.6
484,0.73
378,0.56
178,0.72
41,0.49
498,0.73
421,0.77
206,0.63
282,0.81
254,0.85
412,0.59
4,0.65
256,0.76
448,0.8
100,0.71
226,0.63
429,0.95
213,0.96
171,0.89
98,0.9
292,0.56
215,0.93
61,0.47
47,0.89
32,0.91
267,0.73
327,0.69
200,0.73
446,0.93
27,0.44
424,0.91
230,0.73
260,0.87
288,0.82
162,0.67
425,0.92
138,0.8
62,0.54
135,0.82
128,0.84
476,0.62
8,0.5
326,0.63
463,0.57
64,0.52
300,0.62
14,0.61
156,0.7
40,0.46
379,0.71
468,0.81
403,0.91
216,0.91
279,0.67
434,0.64
430,0.74
337,0.94
236,0.85
207,0.66
212,0.95
295,0.68
457,0.37
251,0.7
488,0.76
486,0.68
303,0.73
350,0.74
269,0.77
201,0.72
161,0.53
43,0.87
217,0.85
401,0.66
190,0.9
309,0.7
259,0.9
105,0.69
53,0.72
389,0.76
1,0.76
441,0.79
482,0.83
49,0.78
419,0.58
80,0.5
205,0.57
34,0.94
263,0.7
427,0.71
366,0.74
91,0.38
339,0.81
473,0.67
52,0.78
345,0.49
264,0.75
241,0.65
13,0.62
315,0.65
88,0.64
387,0.53
273,0.52
166,0.65
328,0.8
492,0.53
134,0.89
306,0.79
480,0.8
319,0.8
243,0.76
54,0.7
363,0.69
50,0.76
456,0.51
174,0.87
445,0.91
189,0.88
496,0.96
187,0.93
169,0.65
58,0.36
48,0.82
344,0.47
235,0.88
252,0.71
21,0.7
313,0.67
459,0.89
160,0.57
276,0.89
443,0.87
191,0.87
385,0.96
293,0.64
413,0.49
343,0.59
257,0.78
308,0.69
149,0.79
130,0.96
151,0.94
359,0.81
99,0.79
372,0.95
87,0.66
458,0.69
330,0.8
214,0.94
466,0.71
121,0.94
499,0.84
20,0.64
188,0.93
71,0.96
106,0.87
270,0.72
348,0.57
435,0.55
102,0.62
